Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
17/05/2023;41.101;1.688.898;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Scarso;no;no;14:15;14:25;10
17/05/2023;4.110.564.612;1.687.508.396;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;13:13;13:30;17
17/05/2023;4.111.024;1.686.795;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;no;14:20;14:40;20
17/05/2023;4.111.977;1.687.063;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;no;16:00;16:10;10
17/05/2023;411.259.229;168.697.782;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Normale;no;si;15:45;16:00;15
17/05/2023;4.112.721;16.848;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;18:15;18:25;10
17/05/2023;4.110.415;1.681.568;no;Statale;Rettilineo;Bagnato (pioggia);Asfaltata;Nuvoloso;Normale;no;no;18:20;18:45;25
17/05/2023;4.111.192;1.686.837;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;20:40;20:55;15
18/05/2023;411.274;1.684.664;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;si;05:25;05:40;15
18/05/2023;4.110.781;168.559;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;no;09:30;09:40;10
18/05/2023;4.112.512;1.684.868;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;10:30;10:45;15
18/05/2023;411.239;1.686.708;si;Strada Urbana;Intersezione non regolata/non segnalata;Asciutto;Asfaltata;Sereno;Normale;no;si;11:05;11:10;5
18/05/2023;4.112.861;1.685.278;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;si;12:25;12:30;5
18/05/2023;4.110.636.789;1.688.584.853;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;14:05;14:10;5
18/05/2023;4.107.366;1.686.126;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Nuvoloso;Normale;no;si;16:05;16:15;10
18/05/2023;411.224.547;168.674.289;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;si;no;15:50;16:00;10
19/05/2023;4.111.508;1.688.746;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;03:00;03:10;10
