NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;26/10/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;27/10/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;28/10/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;29/10/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;30/10/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;31/10/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;01/11/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;02/11/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;03/11/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;04/11/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;05/11/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;06/11/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;07/11/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;08/11/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;09/11/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;10/11/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;11/11/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;12/11/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;13/11/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;14/11/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;15/11/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;16/11/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;17/11/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;18/11/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;19/11/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;20/11/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;21/11/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;22/11/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;23/11/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;24/11/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;25/11/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;26/11/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;27/11/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;28/11/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;29/11/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;30/11/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;01/12/2023;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;02/12/2023;Bari;Altamura;PM10;39;7
Altamura - Via Santeramo;03/12/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;04/12/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;05/12/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;06/12/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;07/12/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;08/12/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;09/12/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;10/12/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;11/12/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;12/12/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;13/12/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;14/12/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;15/12/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;16/12/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;17/12/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;18/12/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;19/12/2023;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;20/12/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;21/12/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;22/12/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;23/12/2023;Bari;Altamura;PM10;20;7
